Date,Bulletin,Obs Code,Residual RA,Residual Dec
2/2/2022,2022-C29 ,I93,0.3,0.0
2/2/2022,2022-C29 ,033,0.4,0.1
2/2/2022,2022-C29 ,L01,0.1,0.1
2/2/2022,2022-C29 ,I93,0.4,0.2
2/2/2022,2022-C29 ,L01,0.2,0.6
2/2/2022,2022-C29 ,654,0.2,0.1
2/4/2022,2022-C61 ,T08,0.1,0.4
2/4/2022,2022-C61 ,J87,0.1,0.0
2/4/2022,2022-C61 ,I52,0.0,0.2
2/4/2022,2022-C61 ,T08,0.0,0.4
2/4/2022,2022-C61 ,958,0.3,0.8
2/4/2022,2022-C61 ,703,0.4,1.7
2/4/2022,2022-C61 ,T08,0.3,0.2
2/4/2022,2022-C61 ,J87,0.1,0.4
2/4/2022,2022-C61 ,703,0.3,0.5
2/4/2022,2022-C61 ,T08,0.3,0.4
2/4/2022,2022-C61 ,958,0.7,0.2
2/4/2022,2022-C61 ,703,0.4,0.0
2/4/2022,2022-C61 ,T05,0.1,0.4
2/4/2022,2022-C61 ,204,0.1,0.1
2/4/2022,2022-C61 ,U52,0.7,0.1
2/4/2022,2022-C61 ,T05,0.5,0.4
2/4/2022,2022-C61 ,204,0.1,0.0
2/4/2022,2022-C61 ,U52,0.3,0.1
2/4/2022,2022-C61 ,T05,0.1,0.2
2/4/2022,2022-C61 ,204,0.1,0.2
2/4/2022,2022-C61 ,654,0.0,0.0
2/4/2022,2022-C61 ,T05,0.4,0.6
2/4/2022,2022-C61 ,858,0.1,0.2
2/4/2022,2022-C61 ,U52,0.2,0.1
2/4/2022,2022-C61 ,K88,0.1,0.2
2/4/2022,2022-C61 ,858,0.3,0.1
2/4/2022,2022-C61 ,U52,0.0,0.4
2/4/2022,2022-C61 ,K88,0.0,0.3
2/4/2022,2022-C61 ,I52,0.1,0.0
2/4/2022,2022-C61 ,U52,0.0,0.3
2/4/2022,2022-C61 ,K88,0.3,0.2
2/4/2022,2022-C61 ,858,0.2,0.0
2/4/2022,2022-C61 ,654,0.0,0.0
2/4/2022,2022-C61 ,J87,0.0,0.2
2/4/2022,2022-C61 ,I52,0.3,0.1
2/4/2022,2022-C61 ,U52,0.0,0.2
2/4/2022,2022-C61 ,958,1.0,1.2
2/4/2022,2022-C61 ,I52,0.2,0.4
2/4/2022,2022-C61 ,654,0.0,0.1
2/4/2022,2022-C62 ,703,1.0,0.6
2/4/2022,2022-C62 ,958,0.2,0.0
2/4/2022,2022-C62 ,U52,0.6,0.2
2/4/2022,2022-C62 ,703,1.5,0.4
2/4/2022,2022-C62 ,204,0.0,0.3
2/4/2022,2022-C62 ,U52,0.0,0.0
2/4/2022,2022-C62 ,703,0.4,0.3
2/4/2022,2022-C62 ,204,0.0,0.0
2/4/2022,2022-C62 ,654,0.0,0.1
2/4/2022,2022-C62 ,703,0.3,0.3
2/4/2022,2022-C62 ,204,0.1,0.1
2/4/2022,2022-C62 ,654,0.0,0.1
2/4/2022,2022-C62 ,F52,0.0,0.0
2/4/2022,2022-C62 ,I52,0.0,0.2
2/4/2022,2022-C62 ,654,0.0,0.1
2/4/2022,2022-C62 ,I52,0.0,0.3
2/4/2022,2022-C62 ,I52,0.4,0.2
2/4/2022,2022-C62 ,900,0.2,1.9
2/4/2022,2022-C62 ,I52,0.2,0.3
2/4/2022,2022-C62 ,I52,0.3,0.1
2/4/2022,2022-C62 ,900,0.2,1.6
2/4/2022,2022-C62 ,I52,0.1,0.3
2/4/2022,2022-C62 ,I52,0.1,0.3
2/4/2022,2022-C62 ,900,0.0,1.8
2/4/2022,2022-C62 ,I52,0.1,0.4
2/4/2022,2022-C62 ,U52,0.4,0.1
2/4/2022,2022-C62 ,900,0.2,1.5
2/4/2022,2022-C62 ,F52,0.0,0.1
2/4/2022,2022-C62 ,U52,0.1,0.2
2/4/2022,2022-C62 ,900,0.1,1.7
